Sport,Country,Home_team,Venue,Coor,Scraped_value,Scraped_value_team
Basketball,Bosnia and Herzegovina,KK Jumper Taurus W,Gradska Arena Husejin Smajlović (Zenica),"[44.20290375650061, 17.91352556438881]",Gradska arena Zenica (Zenica),Jumper W
Basketball,Bosnia and Herzegovina,ŽKK Konjic W,Sportska dvorana Konjic (Konjic),"[43.65137895857271, 17.964540914363145]",Sportska dvorana Konjic (Konjic),Konjic W
Basketball,Bosnia and Herzegovina,KK Lavovi Brčko W,Dvorna Tehničke škola Brčko (Brčko),"[44.8797776958379, 18.800749643480017]",Brcko Distrikt TSC (Brcko),Lavovi W
Basketball,Bulgaria,Rilski Sportist,Arena Samokov (Samokov),"[42.33243730120204, 23.555107137350806]",Arena Samokov (Samokov),None
Basketball,Bulgaria,Shumen,Arena Shumen (Shumen),"[43.279329358666644, 26.925925104925376]",Arena Shumen (Shumen),None
Basketball,Bulgaria,Balkan Botevgrad,Arena Botevgrad (Botevgrad),"[42.8999822, 23.788401809276802]",Arena Botevgrad (Botevgrad),Balkan
Basketball,Bulgaria,Academic Plovdiv,Sila Sport Complex (Plovdiv),"[42.137178595584835, 24.7390785316875]",Sila Sport Complex (Plovdiv),None
Basketball,Bulgaria,Beroe,Municipal Sports Hall (Stara Zagora),"[42.42756073030684, 25.65778142307139]",Municipal Hall (Stara Zagora),None
Basketball,Bulgaria,Minyor 2015,Sport Hall Boris Gyuderov (Pernik),"[42.6143128938756, 23.041494109815037]",Sport Hall Boris Gyuderov (Pernik),Minyor
Basketball,Bulgaria,Cherno More Ticha,Hristo Borisov Hall (Varna),"[43.214635535255184, 27.932290733501503]",DKS - Varna (Varna),Cherno More
Basketball,Bulgaria,Spartak Pleven,Balkanstroy (Pleven),"[43.414382983271935, 24.65590504576611]",Balkanstroy (Pleven),None
Basketball,Bulgaria,Levski,Triaditsa Sports Hall (Sofia),"[42.666509325488605, 23.297598523087302]",Triaditsa Sports Hall (Sofia),None
Basketball,Croatia,BC Zadar,Dvorana Krešimir Ćosić (Zadar),"[44.121609406853025, 15.24483475980714]",Dvorana Kresimira Cosica (Zadar),Zadar
Basketball,Croatia,KK Dinamo-Zagreb,Košarkaški centar Dražen Petrović (Zagreb),"[45.802644604673034, 15.963424652828223]",Kosarkaski centar Drazen Petrovic (Zagreb),Dinamo Zagreb
Basketball,Croatia,GKK Sibenka,Sportska dvorana Baldekin (Šibenik),"[43.73022965, 15.9004351]",Sportska dvorana Baldekin (Šibenik),None
Basketball,Croatia,BC Dubrovnik,Sportska dvorana Gospino polje (Dubrovnik),"[42.6470829, 18.088384798916916]",Sportska dvorana Gospino polje (Dubrovnik),Dubrovnik
Basketball,Croatia,KK Alkar,GŠD Ivica Glavan-Ićo (Sinj),"[43.699257107541314, 16.64589943795698]",GSD Ivica Glavan-Ico (Sinj),Alkar
Basketball,Croatia,BC Cedevita Junior,Dom Sportova (Zagreb),"[45.8078441, 15.95180037532022]",Dom Sportova (Zagreb),Cedevita Junior
Basketball,Croatia,BC Dubrava,Sportska dvorana Dubrava (Zagreb),"[45.832492200000004, 16.062564012041292]",Sportska dvorana Dubrava (Zagreb),Dubrava
Basketball,Croatia,BC Cibona,Košarkaški centar Dražen Petrović (Zagreb),"[45.802644604673034, 15.963424652828223]",Kosarkaski centar Drazen Petrovic (Zagreb),Cibona
Basketball,Croatia,BC Kvarner 2010,Sportska Dvorana Zamet (Rijeka),"[45.34437151786319, 14.384085604331949]",Dvorana Mladosti (Rijeka),Kvarner
Basketball,Croatia,KK Securities Osijek,NSD Gradski vrt (Osijek),"[45.54437769538736, 18.693522654257062]",NSD Gradski vrt (Osijek),Osijek
Basketball,Croatia,BC Zabok,Gradska sportska dvorana Zabok (Zabok),"[46.02084737518745, 15.903002485234827]",Gradska sportska dvorana Zabok (Zabok),Zabok
Basketball,Croatia,BC Split,Sportski centar Gripe (Split),"[43.509248869314135, 16.451315736798556]",Dvorana KK Split (Split),Split
Basketball,Croatia,BC Samobor,Sportska dvorana Samobor (Samobor),"[45.80967345, 15.712853018219105]",Sportska dvorana Samobor (Samobor),Samobor
Basketball,Croatia,KK Omiš Čagalj Tours,Sportska dvorana Ribnjak (Omiš),"[43.44138445, 16.683152599634344]",Sportska dvorana Ribnjak (Omiš),Omis
Basketball,Croatia,BC Zagreb,SŠD Boško Božić-Pepsi (Zagreb),"[45.77415043607311, 15.9624473965979]",SSD Bosko Bozic Pepsi (Zagreb),KK Zagreb
Basketball,Croatia,KK Aleta Puntamika,Dvorana Jazine (Zadar),"[44.1107352, 15.23292915063923]",Dvorana Jazine (Zadar),Sonik Puntamika
Basketball,Croatia,KK Bosco,SŠD Boško Božić-Pepsi (Zagreb),"[45.77415043607311, 15.9624473965979]",SSD Bosko Bozic Pepsi (Zagreb),Bosco
Basketball,Croatia,HAKK Mladost,Dom Košarke Cedevita (Zagreb),"[45.77997020293291, 15.96662598310548]",Basketball Dome Cedevita (Zagreb),Mladost
Basketball,Croatia,BC Crikvenica,Gradska Sportska Dvorana Crikvenica (Crikvenica),"[45.1774824, 14.69641783898129]",Gradska Sportska Dvorana Crikvenica (Crikvenica),Crikvenica
Basketball,Croatia,KK Đakovo,Nastavno-sportska dvorana Đakovo (Đakovo),"[45.30946386729192, 18.413049025458875]",Sportska Dvorana (Đakovo),Dakovo
Basketball,Croatia,KK Hermes Analitica,Košarkaški centar Dražen Petrović (Zagreb),"[45.802644604673034, 15.963424652828223]",Kosarkaski centar Drazen Petrovic (Zagreb),Hermes
Basketball,Croatia,KK Jazine Arbanasi,Dvorana Jazine / Dvorana Krešimir Ćosić (Zadar),"[44.1107352, 15.23292915063923] / [44.121609406853025, 15.24483475980714]",Dvorana Kresimira Cosica (Zadar),Jazine
Basketball,Croatia,KK Ribola Kastela,Sportska dvorana Sokolana (Kaštel Sučurac),"[43.54600026055816, 16.42006261984372]",Sportska dvorana Sokolana (Kaštel Sučurac),Kastela
Basketball,Croatia,KK Marsonia,Sports Hall Vijuš (Slavonski Brod),"[45.149029000244006, 18.02448165997518]",Sports Hall Vijuš (Slavonski Brod),Marsonia
Basketball,Croatia,KK DepoLink Škrljevo,Sportska dvorana Kostrena (Kostrena),"[45.30634686197914, 14.494625568729026]",Sportska dvorana Mavrinci (Mavrinci),Skrljevo
Basketball,Croatia,BC Gorica,Sportna Dvorna Nova Goirca (Nova Goirca),"[45.95770222735502, 13.644530197841847]",GSD Velika Gorica (Velika Gorica),Gorica
Basketball,Croatia,ŽKK Brod na Savi W,Sports Hall Vijuš (Slavonski Brod),"[45.149029000244006, 18.02448165997518]",Sports Hall Vijuš (Slavonski Brod),Brod na Savi W
Basketball,Croatia,BC FSV Rijeka W,Sportska dvorana 3. maj (Rijeka),"[45.33754262076074, 14.387981108466288]",Dvorana Dinko Lukaric (Rijeka),FSV Rijeka W
Basketball,Croatia,KAŽL Split W,Sportski centar Gripe (Split),"[43.509248869314135, 16.451315736798556]",Sportski centar Gripe (Split),KAZL Split W
Basketball,Croatia,KK Studio Zagreb W,SŠD Boško Božić-Pepsi (Zagreb),"[45.77415043607311, 15.9624473965979]",SSD Bosko Bozic Pepsi (Zagreb),Novi Zagreb W
Basketball,Croatia,KK Šibenik W,Sportska dvorana Baldekin (Šibenik),"[43.73022965, 15.9004351]",Sportska dvorana Baldekin (Šibenik),Sibenik W
Basketball,Croatia,ŽKK Zadar Plus W,Dvorana Jazine (Zadar),"[44.1107352, 15.23292915063923]",Dvorana Jazine (Zadar),Zadar Plus W
Basketball,Croatia,ŽKK Plamen Požega W,Sportska dvorana Tomislav Pirc (Požega),"[45.33182503320712, 17.68124319559189]",Sportska dvorana Tomislav Pirc (Pozega),Plamen Pozega W
Basketball,Croatia,ŽKK Pula W,Dom sportova Mate Parlov (Pula),"[44.85771621442825, 13.835223675337145]",Dom sportova Mate Parlov (Pula),Pula Moviter W
Basketball,Croatia,ŽKK Ragusa W,Sportska dvorana Gospino polje (Dubrovnik),"[42.6470829, 18.088384798916916]",Sportska dvorana Gospino polje (Dubrovnik),Ragusa Dubrovnik W
Basketball,Croatia,KK Trešnjevka 2009,SD Peščenica (Zagreb),"[45.8055055927906, 16.026115825900426]",Dom Sportova (Zagreb),Tresnjevka 2009 W
Basketball,Croatia,Zadar W,Dvorana Kresimira Cosica (Zadar),"[44.11956805, 15.245524022792896]",Dvorana Kresimira Cosica (Zadar),Zadar W
Basketball,Croatia,ŽKK Medveščak W,SD Peščenica (Zagreb),"[45.8055055927906, 16.026115825900426]",Skolska sportska dvorana Pescenica (Zagreb),Medvescak W
Basketball,Cyprus,Anorthosis,B Technical School Limassol (Limassol),"[34.67685799548415, 33.0342135979177]",B Technical School Limassol (Limassol),None
Basketball,Cyprus,ETHA,Tassos Papadopoulos Eleftheria Arena (Nicosia),"[35.14749985813374, 33.311977488797304]",Tassos Papadopoulos Eleftheria SC (Nicosia),ETHA Engomi
Basketball,Cyprus,Paralimni,Paralimni Basket Stadium (Paralimni),"[35.04784185716526, 33.993584937710175]",Paralimni Basket Stadium (Paralimni),None
Basketball,Cyprus,APOEL,Lefkotheo Indoor Arena (Nicosia),"[35.147884723575714, 33.31557352429838]",Lefkotheo (Nicosia),Apoel BC
Basketball,Cyprus,Petrolina AEK Larnaca,Kition Athletic Center (Larnaca),"[34.92333595, 33.59894289455498]",Kition Athletic Center (Larnaca),AEK Larnaca
Basketball,Cyprus,Keravnos,Costas Papaellinas Arena (Nicosia),"[35.15183115, 33.34023208754392]",Costas Papaellinas Arena (Nicosia),None
Basketball,Cyprus,AEL Limassol,Nicos Solomonides Arena (Limassol),"[34.67000291390665, 33.02654038752119]",Nicos Solomonides Arena (Limassol),AEL
Basketball,Cyprus,Achilleas,Palouriotissas Lyceum (Nicosia),"[35.17820390719159, 33.37422342607349]",Palouriotissas Gymnasium (Nicosia),Achilleas K.
Basketball,Cyprus,Apollon Limassol,Indoor Stadium Apollo (Limassol),"[38.20895136097707, 21.76448099319214]",Apollon Arena (Limassol),Apollon
Basketball,Czech Republic,USK Prague,Sportovni hala Folimanka (Prague),"[50.0669673, 14.431832328491087]",Sportovni hala Folimanka (Prague),None
Basketball,Czech Republic,ERA Baksetball Nymburk,Sportovní centrum ČUS Nymburk (Nymburk),"[50.178529932458254, 15.059031741934369]",Sports Center Nymburk (Nymburk),Nymburk
Basketball,Czech Republic,BK Opava,Víceúčelová hala Opava (Opava),"[49.94976509733819, 17.8847909550503]",Viceucelova hala Opava (Opava),Opava
Basketball,Czech Republic,BK KVIS Pardubice,Sportovní hala Dašická / occasionally at Enteria Aréna (Pardubice),"[50.0364142652454, 15.790862295897151] / [50.04027538961768, 15.7694951809413]",Sports hall Dasicka (Pardubice) / Sports hall Dasick (Pardubice),Pardubice
Basketball,Czech Republic,BK Olomoucko,SH Čajkaréna (Olomouc),"[49.578326244589405, 17.236663897460872]",SH Čajkaréna (Olomouc),Olomoucko
Basketball,Czech Republic,BK Slavia Prague,Hala Slavia Eden (Prague),"[50.06858158551829, 14.47768678483819]",Hala Slavia Eden (Prague),Slavia Prague
Basketball,Czech Republic,Ústí nad Labem,Sportcenter Sluneta (Ústí nad Labem-město),"[50.66513658678054, 14.012927811266152]",Sportcenter Sluneta (Usti nad Labem),Usti n. Labem
Basketball,Czech Republic,Basket Brno,Starez Arena Vodova (Brno),"[49.227708901878074, 16.58407904765698]",SH Vodova (Brno),Brno
Basketball,Czech Republic,BK Děčín,ARMEX Sportcentrum (Decin),"[50.78162180014733, 14.217110548802575]",ARMEX Sportcentrum (Decin),Decin
Basketball,Czech Republic,GBA Fruko-Schulz Jindřichův Hradec,Městská sportovni hala (Jindrichuv Hradec),"[49.14616956915099, 15.006827784221478]",Mestska sportovni hala (Jindrichuv Hradec),Jindrichuv Hradec
Basketball,Czech Republic,NH Ostrava,Hala Tatran (Ostrava),"[49.83369681026607, 18.281009077881446]",Hala Tatran (Ostrava),None
Basketball,Czech Republic,Sršni Písek,Sportovní Hala (Písek),"[49.31040717355904, 14.149361327245009]",Sportovni hala Sokol (Pisek),Srsni Pisek
