Sport,Country,Home_team,Venue,Coor,Scraped_value,Scraped_value_team
Ice Hockey,Sweden,Vastervik,ACT-hallen (Västervik),"[57.74760015, 16.64491160925133]",,
Ice Hockey,Sweden,Karlskrona,NKT Arena Karlskrona (Karlskrona),"[56.217931300000004, 15.602732680734334]",,
Volleyball,Czech Republic,Ostrava,Sareza sports hall (Ostrava),"[49.8518572058718, 18.282720524251648]",,
Volleyball,Czech Republic,Pribram,Sports Hall Pribram (Pribram),"[49.679739506404026, 14.002187319029883]",,
Volleyball,Czech Republic,Usti,Sportcenter Sluneta (Usti nad Labem),"[50.66507541069355, 14.012841982367354]",,
Volleyball,Czech Republic,VK Lvi Prague,UNYP Arena (Prague),"[50.10830269221301, 14.486871383779832]",,
Volleyball,Czech Republic,Benatky,Nibe Arena (Benatky nad Jizerou),"[50.28720925901889, 14.828858537769166]",,
Volleyball,Czech Republic,Odolena Voda,Sports Hall Odolena Voda (Odolena Voda),"[50.22560494935395, 14.410441206951942]",,
Volleyball,Czech Republic,Zlin,Sportovní hala DATART (Zlin),"[49.218748222205, 17.659253342962323]",,
Volleyball,Czech Republic,Beskydy,ZS Pionyru (Frydek-Mistek),"[49.6790287, 18.3405651]",,
Volleyball,Czech Republic,Brno,TJ Sokol Brno (Brno),"[49.1641376, 16.5632998]",,
Volleyball,Czech Republic,Karlovarsko,Hall of ball sports (Karlovy Vary),"[50.23368570234397, 12.846156888008004]",,
Volleyball,Czech Republic,Kladno,Kladno Sports Hall (Kladno),"[50.13662343903623, 14.088294241451319]",,
Volleyball,Czech Republic,Liberec,Dukla Liberec (Liberec),"[50.75402005, 15.049153264156626]",,
Volleyball,Czech Republic,Ceske Budejovice,Sports Hall Stromovka (Ceske Budejovice),"[48.97226361029705, 14.468266541391735]",,
Volleyball,Czech Republic,KP Brno W,SH Vodova (Brno),"[49.22325855636289, 16.58674039264638]",,
Volleyball,Czech Republic,Ostrava W,Hall of ball sports TJ Ostrava (Ostrava),"[49.825838907544195, 18.27456504143531]",,
Volleyball,Czech Republic,TJ Sokol Sternberk W,Ecce Homo Sternberk (Sternberk),"[49.7425298, 17.3090699]",,
Volleyball,Czech Republic,Prostejov W,National sports center (Prostejov),"[49.480305860518115, 17.10046549757471]",,
Volleyball,Czech Republic,Selmy Brno W,TJ Sokol Brno (Brno),"[49.1641376, 16.5632998]",,
Volleyball,Czech Republic,VK Liberec W,Dukla Liberec (Liberec),"[50.75402005, 15.049153264156626]",,
Volleyball,Czech Republic,Frydek-Mistek W,ZS Pionyru (Frydek-Mistek),"[49.6790287, 18.3405651]",,
Volleyball,Czech Republic,Olomouc W,Sports Hall UP Olomouc (Olomouc),"[49.602937022023816, 17.25046020699004]",,
Volleyball,Czech Republic,Olymp Prague W,PVK Olymp Prague (Prague),"[50.06515658602317, 14.460096807077695]",,
Volleyball,Czech Republic,Prerov W,Prerov City sports Hall (Prerov),"[49.457588379409195, 17.4677963260764]",,
Volleyball,France,Poitiers,Salle Frédéric Lawson-Body (Poitiers),"[46.57028862380465, 0.3684419510771156]",,
Volleyball,France,Chaumont,Palestra (Chaumont),"[48.09722185, 5.1339131933831155]",,
Volleyball,France,Montpellier,Palais des Sports Chaban Delmas (Castelnau-le-Lez),"[43.645450989208875, 3.9154252969576766]",,
Volleyball,France,Paris,Salle Pierre-Charpy (Paris),"[48.81846528768812, 2.344965610703919]",,
Volleyball,France,St. Nazaire,Salle omnisports Pierre-de-Coubertin (Saint-Nazaire),"[47.27038788487697, -2.2339273193993754]",,
Volleyball,France,Tourcoing,Complexe sportif Léo Lagrange (Tourcoing),"[50.71956415, 3.1574608344126203]",,
Volleyball,France,Toulouse,Palais des sports André-Brouat (Toulouse),"[43.61257071987144, 1.4350656809800617]",,
Volleyball,France,Nice,Salle Giamarchi/Palmeira (Nice),"[43.698580093293955, 7.2548310681251404]",,
Volleyball,France,Plessis Robinson,Espace Omnisports (Le Plessis-Robinson),"[48.7836209, 2.2553604078479674]",,
Volleyball,France,Tours,Palais des sports de Tours (Tours),"[47.38334992365803, 0.6954732823014481]",,
Volleyball,France,Sete,Halle des Sports Louis Marty (Sète),"[43.415988600000006, 3.670481966666663]",,
Volleyball,France,Cannes,Palais des Victoires (Cannes),"[43.5520942, 6.961327881446836]",,
Volleyball,France,Narbonne,Narbonne Arena (Narbonne),"[43.1807138, 3.0233864949893396]",,
Volleyball,France,Illacaise,La Ruche Arena (Saint-Jean-d'Illac),"[44.807423099999994, -0.8061225991376793]",,
Volleyball,Germany,Luneburg,LKH Arena (Lüneburg),"[53.2726382, 10.423021060556247]",,
Volleyball,Germany,Dachau,Georg-Scherer-Halle (Dachau),"[48.24564395, 11.436125619633955]",,
Volleyball,Germany,Giesen,Volksbank-Arena Hildesheim (Hildesheim),"[52.152873299999996, 9.933889430464394]",,
Volleyball,Germany,Freiburg,Act-Now-Halle (Freiburg),"[47.989488841479634, 7.885816568332188]",,
Volleyball,Germany,Haching Munchen,Geothermie Arena (Unterhaching),"[48.060478700000004, 11.614789960121701]",,
Volleyball,Germany,Netzhoppers,Paul Dinter Halle (Konigs Wusterhausen),"[52.29232101304905, 13.629405768841469]",,
Volleyball,Germany,Bitterfeld,Bernsteinhalle (Muldestausee),"[51.6443735, 12.376884983941125]",,
Volleyball,Germany,Friedrichshafen,Spacetech Arena (Friedrichshafen),"[47.668205799999996, 9.512771382312053]",,
Volleyball,Germany,BR Volleys,Max-Schmeling-Halle (Berlin),"[52.544799499999996, 13.404494362979271]",,
Volleyball,Germany,Duren,Arena Kreis (Düren),"[50.7933314, 6.487780696447876]",,
Volleyball,Germany,Karlsruhe,Lina Radke Halle (Karlsruhe),"[48.9965659, 8.381826227982234]",,
Volleyball,Germany,Herrsching,BMW Park (Munich),"[48.126031, 11.525353870787907]",,  -- goede coordinaten
Volleyball,Germany,VCO Berlin,Sportforum Hohenschonhausen (Berlin),"[52.54261865, 13.476377826890399]",,
Volleyball,Italy,Piacenza,PalaBanca (Piacenza),"[445.04014375398451, 9.757672623029068]",, --coordinaten goed
Volleyball,Italy,Cisterna,Palazzetto dello Sport (Cisterna di Latina),"[41.585248, 12.828758669411272]",,
Volleyball,Italy,Taranto,PalaMazzola (Taranto),"[40.4652806, 17.274001418544216]",,
Volleyball,Italy,Lube Civitanova,PalaCivitanova (Treia),"[43.295619704675666, 13.700136779125161]",,
Volleyball,Italy,Perugia,PalaEvangelisti (Perugia),"[43.11064718216671, 12.357881781593004]",,
Volleyball,Italy,Grottazzolina,PalaSavelli (Porto San Giorgio),"[43.16579995, 13.79706575]",,
Volleyball,Italy,Monza,Monza Arena (Monza),"[45.5854242, 9.309102436907951]",,
Volleyball,Italy,Padova,Palasport San Lazzaro (Padova),"[45.4174019, 11.9245611]",,
Volleyball,Italy,Trentino,PalaTrento (Trento),"[46.0409865, 11.122756]",,
Volleyball,Italy,Verona,PalaOlimpia (Verona),"[45.43735045, 10.964824178913855]",,
Volleyball,Italy,Milano,Allianz Cloud (Milan),"[45.48260655, 9.142240396032257]",,
Volleyball,Italy,Modena,PalaPanini (Modena),"[44.644862950000004, 10.953816152578085]",,
Volleyball,Poland,Cuprum Gorzow,Arena Gorzow (Gorzow),"[52.744742, 15.216354047809784]",,
Volleyball,Poland,Norwid Czestochowa,Hala Sportowa Częstochowa (Częstochowa),"[50.804527500000006, 19.15225899252753]",,
Volleyball,Poland,Rzeszow,Hala Podpromie (Rzeszow),"[50.0293208, 22.001207005611903]",,
Volleyball,Poland,Olsztyn,Hala Urania (Olsztyn),"[53.7731299, 20.495406005077612]",,
Volleyball,Poland,Barkom,Arena Jaskolka (Tarnow),"[50.00907305, 20.929412901539372]",,
Volleyball,Poland,Gdansk,Ergo Arena (Sopot),"[54.4265278, 18.580524817962967]",,
Volleyball,Poland,Projekt Warszawa,COS Torwar (Warsaw),"[52.22257340264571, 21.042159158250318]",,
Volleyball,Poland,Stal Nysa,Hala Nysa (Nysa),"[50.462306850000004, 17.33430249257339]",,
Volleyball,Poland,Lublin,Globus (Lublin),"[51.2376944, 22.5318097]",,
Volleyball,Poland,Bedzin,Będzin Arena (Będzin),"[50.32071095, 19.12643254490864]",,
Volleyball,Poland,Slepsk Suwalki,Suwałki Arena (Suwałki),"[54.0938189, 22.917699136286053]",,
Volleyball,Poland,Zawiercie,Hala widowiskowo-sportowa OSiR II (Zawiercie),"[50.4940499, 19.426796162651943]",,
Volleyball,Poland,Jastrzebski,Hala Widowiskowo-Sportowa (Jastrzebie-Zdroj),"[49.94517, 18.578489]",,
Volleyball,Poland,GKS Katowice,Hala sportowa OS Szopienice (Katowice),"[50.26074112833386, 19.090123365794547]",,
Volleyball,Poland,Belchatow,Hala Energia (Bełchatów),"[51.36359445, 19.377220135609374]",,
Volleyball,Poland,Kedzierzyn-Kozle,Hala Azoty (Kędzierzyn-Koźle),"[50.3158227, 18.244639498168773]",,
Volleyball,Poland,Czarni Radom,Hala Widowiskowo-Sportowa RCS (Radom),"[51.4091897229481, 21.17150834151766]",,
Volleyball,Albania,Teuta,Ramazan Njala Sports Palace (Durrës),"[41.31887821287836, 19.451117283356943]",,
Volleyball,Albania,Studenti Tirana,Asllan Rusi Sports Palace (Tiranë),"[41.33356748018203, 19.80152171034768]",,
Volleyball,Albania,SK Tirana,Farie Hoti Sports Palace (Tiranë),"[41.31273212844544, 19.809435205243254]",,
Volleyball,Albania,Elbasani,Tomorr Sinani Sports Palace (Elbasan),"[41.111209849999995, 20.078537731575594]",,
Volleyball,Albania,Skenderbeu,Tamara Nikolla Sports Palace (Korçë),"[40.627181657884215, 20.78442153567059]",,
Volleyball,Albania,Partizani Tirana,Asllan Rusi Sports Palace (Tiranë),"[41.33356748018203, 19.80152171034768]",,
Volleyball,Austria,VBK Klagenfurt,Sportpark Klagenfurt (Klagenfurt),"[46.6103470022156, 14.278301538502442]",,
Volleyball,Austria,Tirol Innsbruck,Die Innsbrucker USI-Halle (Innsbruck),"[47.25695359411845, 11.356033292661957]",,
Volleyball,Austria,Sokol Wien,Posthalle (Wien),"[48.22493122706139, 16.32922316439782]",,
Volleyball,Austria,Waldviertel,Stadthalle (Zwettl),"[48.60440325, 15.15736749095646]",,
Volleyball,Austria,UVC Graz,Raiffeiser Sportpark Graz (Graz),"[47.05509539286755, 15.441895938514557]",,
Volleyball,Austria,Aich/Dob,JUFA-Arena Bleiburg (Bleiburg),"[46.5847301, 14.799825499584976]",,
Volleyball,Austria,TSV Hartberg,Stadtwerke Hartberg Halle (Hartberg),"[47.2784402, 15.976306579349087]",,
Volleyball,Austria,St. Polten,Anton Rupp Freizeitzentrum (Herzogenburg),"[48.27857493984349, 15.706124258174151]",,
Volleyball,Austria,Ried,Raiffeisen Volleydome (Ried im Innkreis),"[48.21100741187735, 13.479000995445189]",,
Volleyball,Austria,Amstetten NO,Johann-Pölz-Halle (Amstetten),"[48.116277, 14.878657835722965]",,
Volleyball,Austria,VBK Klagenfurt 2,Sportpark Klagenfurt (Klagenfurt),"[46.6103470022156, 14.278301538502442]",,
Volleyball,Austria,Sokol/Post SV W,Posthalle (Wien),"[48.22493122706139, 16.32922316439782]",,
Volleyball,Austria,Wildcats W,Lerchenfeldhalle (Klagenfurt),"[46.62669358372965, 14.29869755358615]",,
Volleyball,Austria,UVC Graz W,Raiffeiser Sportpark Graz (Graz),"[47.05509539286755, 15.441895938514557]",,
Volleyball,Austria,Eisenerz/Trofaiach W,Sporthalle Trofaiach (Trofaiach),"[47.42742825, 15.003262228402257]",,
Volleyball,Austria,Linz-Steg W,SNMS Kleinmünchen (Linz),"[48.25455587808805, 14.301094380102308]",,
Volleyball,Austria,Hartberg W,Stadtwerke Hartberg Halle (Hartberg),"[47.2784402, 15.976306579349087]",,
Volleyball,Austria,Innsbruck W,Die Innsbrucker USI-Halle (Innsbruck),"[47.25695359411845, 11.356033292661957]",,
Volleyball,Austria,Bisamberg W,ASH Korneuburg (Korneuburg),"[48.353669191110725, 16.3216624672386]",,
Volleyball,Austria,Salzburg W,ULSZ Sportzentrium Rif (Hallein),"[47.7210867426653, 13.070077940841454]",,
Volleyball,Belgium,Gent,EDUGO Arena (Oostakker),"[51.0841659, 3.768141459387972]",,
Volleyball,Belgium,Lindemans Aalst,Sportcentrum Schotte (Aalst),"[50.9265676, 4.052311599585257]",,
Volleyball,Belgium,Maaseik,Steengoed Arena (Maaseik),"[51.10199625, 5.7894652865037735]",,
Volleyball,Belgium,Roeselare,Tombelhal (Roeselare),"[50.95142649175803, 3.1039721685952766]",,
Volleyball,Belgium,Brabo Antwerp,Sporthal Arena (Antwerp),"[51.2069317, 4.4593377]",,
Volleyball,Belgium,Achel,Sportcentrum De Koekoek (Achel),"[51.25734887347274, 5.4819792299902135]",,
Volleyball,Belgium,Haasrode Leuven,Sportoase (Leuven),"[50.92818425, 4.724734520166219]",,
Volleyball,Belgium,Waremme,POLE-BALLON De La Province De Liege (Waremme),"[50.68561221495504, 5.25346211090969]",,
Volleyball,Belgium,Guibertin,Centre Sportif J.Moisse (Mont-Saint-Guibert),"[50.63673919161744, 4.6058929299594435]",,
Volleyball,Belgium,Menen,CC De Steiger (Menen),"[50.792925, 3.1249902]",,
Volleyball,Belgium,Charleroi W,Salle Ballens ASBL (Monceau),"[50.412601904619116, 4.381951056931058]",,
Volleyball,Belgium,Antwerp W,Sporthal Arena (Antwerp),"[51.2069317, 4.4593377]",,
Volleyball,Belgium,Gent W,EDUGO Arena (Oostakker),"[51.0841659, 3.768141459387972]",,
Volleyball,Belgium,Noorderkempen W,Sporthal Diepvenneke (Vosselaar),"[51.30196975804765, 4.893946303009809]",,
Volleyball,Belgium,Michelbeke W,Sporthal AVERBO (Brakel),"[50.83177080922102, 3.768085141606757]",,
Volleyball,Belgium,Tchalou W,Shape N Go Arena (Thuillies),"[50.29310217334153, 4.329164412744019]",,
Volleyball,Belgium,Asterix Avo W,Topsporthal Meerminnen (Beveren),"[51.21187832265477, 4.242537173089783]",,
Volleyball,Belgium,Roeselare W,Tomabelhal (Roeselare),"[50.95142649175803, 3.1039077955778858]",,
Volleyball,Belgium,Oudegem W,Sportcentrum Sint-Gillis (Dendermonde),"[51.0161735, 4.100422093832277]",,
Volleyball,Belgium,Geel W,Sporthal AXION (Geel),"[51.162404064461306, 4.9579659686057465]",,
Volleyball,Bosnia and Herzegovina,Domaljevac,Orašje High School Sports Hall (Orašje),"[45.034828970598454, 18.690709042620544]",,
Volleyball,Bosnia and Herzegovina,Borac,Sport hall Borik (Banja Luka),"[44.77365853412149, 17.20280680844561]",,
Volleyball,Bosnia and Herzegovina,Modrica,KSC Sportska dvorana Modrica (Modriča),"[44.953816344488224, 18.308619278097122]",,
Volleyball,Bulgaria,Hebar,Vasil Levski Sport Hall (Pazardzhik),"[42.19115060219627, 24.336024779831213]",,
Volleyball,Bulgaria,Beroe,Municipal Sports Hall Ivan Vazov (Beroe),"[42.42426082460494, 25.63971611053084]",,
Volleyball,Bulgaria,Montana,Mladost Sports Hall (Montana),"[43.440853532072836, 23.220818564664295]",,
Volleyball,Bulgaria,Dobrudja,Sports Hall Dobrotitsa (Dobrich),"[43.55343985748252, 27.824923668251635]",,
Volleyball,Bulgaria,Cherno More,Hristo Borisov Hall (Varna),"[43.214635535255184, 27.932290733501503]",,
Volleyball,Bulgaria,CSKA Sofia,Vasil Simov Hall (Sofia),"[42.67381309779567, 23.37174213937773]",,
Volleyball,Bulgaria,Lokomotiv Avia,Plovdiv University Sports Hall,"[42.15670869734433, 24.715204283537048]",,
Volleyball,Bulgaria,Dea Sport Burgas,Sports hall Boycho Branzov (Boergas),"[42.5151931, 27.467370597699023]",,
Volleyball,Bulgaria,Pirin Razlog,Зала Септември (Razlog),"[41.887625, 23.46836961940693]",,
Volleyball,Bulgaria,Dunav,Dunav Sport Complex (Roese),"[43.845705004721935, 25.978015965223815]",,
Volleyball,Bulgaria,Neftohimic Burgas,Sport Hall Mladost (Burgas),"[42.51903081803534, 27.45771179518985]",,
Volleyball,Bulgaria,Levski Sofia,Levski Sofia Sports Hall (Sofia),"[42.62285818163158, 23.373569052866902]",,
Volleyball,Croatia,Centrometal,SD Sport Hub Nedelišće (Nedelišće),"[46.3813240350915, 16.389920988362316]",,
Volleyball,Croatia,HAOK Mladost,SD Zeleni Brijeg (Zagreb),"[45.49467850834775, 16.368778683682184]",,
Volleyball,Croatia,Marsonia,SD Vijuš (Slavonski Brod),"[45.149169171065324, 18.02439796646817]",,
Volleyball,Croatia,Sisak,SD Brezovica (Sisak),"[45.45966585244476, 16.383654181826998]",,
Volleyball,Croatia,Split,SC Poljud (Split),"[43.5178055, 16.431047]",,
Volleyball,Croatia,Mladost Ribola Kastela,GD Kaštela (Kaštel Stari),"[43.55589096579823, 16.347722332238863]",,
Volleyball,Croatia,Mok Mursa,NŠD Gradski vrt (Osijek),"[45.544400237415644, 18.693426095322103]",,
Volleyball,Croatia,Mok Rovinj,SD Gimnasium (Rovinj),"[45.08240025496213, 13.641253199008563]",,
Volleyball,Croatia,Rijeka,Dvorana Mladosti Trsat (Rijeka),"[45.3308337, 14.46010321038737]",,
Volleyball,Croatia,Varazdin,Arena Varaždin (Varaždin),"[46.31720695, 16.360535836788433]",,
Volleyball,Croatia,Brda W,SC Poljud (Split),"[43.5178055, 16.431047]",,
Volleyball,Croatia,Dubrovnik W,SD Gospino Polje (Dubrovnik),"[42.64730165815423, 18.088351210540296]",,
Volleyball,Croatia,Kastela W,GD Kaštela (Kaštel Stari),"[43.55589096579823, 16.347722332238863]",,
Volleyball,Croatia,Nebo W,OŠ Antun Augustinčić (Zaprešić),"[45.85797191380516, 15.80603509783938]",,
Volleyball,Croatia,ZOK Osijek W,NŠD Gradski vrt (Osijek),"[45.544400237415644, 18.693426095322103]",,
Volleyball,Croatia,Don Bosco W,ŠSD Boško Božić Pepsi (Zagreb),"[45.77407264005391, 15.962207538977337]",,
Volleyball,Croatia,Kelteks Karlovac W,ŠSD Mladost (Karlovac),"[45.48619245, 15.557668737587088]",,
Volleyball,Croatia,Marina Kastela W,GD Kaštela (Kaštel Stari),"[43.55589096579823, 16.347722332238863]",,
Volleyball,Croatia,Mladost W,Dom odbojke - Bojan Stranić (Zagreb),"[45.7835239, 15.948159071898655]",,
Volleyball,Croatia,Dinamo Zagreb W,SD Peščenica (Zagreb),"[45.8055055927906, 16.026115825900426]",, -- coordinaten al goed
Volleyball,Cyprus,Anagennisis,Dheryneia Hall Dheryneia (Dheryneia),"[35.05432847865152, 33.95678263676771]",,
Volleyball,Cyprus,Omonia,Tassos Papadopoulos Eleftheria Arena (Nicosia),"[35.14749985813374, 33.311977488797304]",, -- coordinaten al goed
Volleyball,Cyprus,Salamina,Spyros Kyprianou Athletic Center (Limassol),"[34.71485826890944, 32.99855753906958]",,
Volleyball,Cyprus,Anorthosis,Themistokleio Sports Center (Limassol),"[34.70070267191928, 32.98466158419227]",,
Volleyball,Cyprus,Pafos,Afrodite PAFOS (Pafos),"[34.76909401841239, 32.43848536790777]",,
Volleyball,Cyprus,APOEL,Lefkotheo (Nicosia),"[35.1482284, 33.3162473]",,
Volleyball,Cyprus,Karava,Themistokleio Sports Center (Limassol),"[34.70070267191928, 32.98466158419227]",,
Volleyball,Denmark,Ikast,Svaneparken (Ikast),"[56.13322179289294, 9.137181204833224]",,
Volleyball,Denmark,Gentofte,Kildeskovshallen (Gentofte),"[55.746392650000004, 12.552351532229977]",,
Volleyball,Denmark,Amager,Sundby Hallen (Copenhagen),"[55.64991410153752, 12.600304855860205]",,
Volleyball,Denmark,DHV Odense,Dalumhallen (Odense),"[55.35663585, 10.377677437764957]",,
Volleyball,Denmark,Vestsjaelland,Korsør Hallen (Korsør),"[55.34056056233603, 11.148097106902767]",,
Volleyball,Denmark,Odense Volleyball,Dalum Hallen (Odense),"[55.35663585, 10.377677437764957]",,
Volleyball,Denmark,Nordenskov UIF,Helle Hallen (Årre),"[55.615514935923805, 8.727459553489794]",,
Volleyball,Denmark,ASV Elite,Århus Gl. Stadionhal (Århus),"[56.13293512898808, 10.197060326534732]",,
Volleyball,Denmark,Hvidovre,Frihedens Idraetscenter (Hvidovre),"[55.6257641, 12.477922739827948]",,
Volleyball,Denmark,Middelfart,Lillebaeltshallen (Middelfart),"[55.49530444863776, 9.74903972506789]",,
Volleyball,Denmark,Holstebro W,Stadionhallen Holstebro (Holstebro),"[56.36701925, 8.631789587594698]",,
Volleyball,Denmark,Gentofte W,Kildeskovshallen (Gentofte),"[55.746392650000004, 12.552351532229977]",,
Volleyball,Denmark,Ikast W,Svaneparken (Ikast),"[56.13322179289294, 9.137181204833224]",,
Volleyball,Denmark,Farum W,Holtehallen (Holte),"[55.82554665, 12.46296825]",,
Volleyball,Denmark,Koge W,Køgehallerne - Spar Nord Arena (Køge),"[55.46724876177065, 12.177484419052176]",,
Volleyball,Denmark,Holte W,Holtehallen (Holte),"[55.82554665, 12.46296825]",,
Volleyball,Denmark,ASV Elite W,Århus Gl. Stadionhal (Århus),"[56.13293512898808, 10.197060326534732]",,
Volleyball,Denmark,Brondby W,Bronby Hallen (Brøndby),"[55.64627835034747, 12.418217568836345]",,
Volleyball,United Kingdom,London Polonia,Northolt High school (London),"[51.551569, -0.3757344348865314]",,
Volleyball,United Kingdom,Malory Eagles,Ernest Bevin College (Tooting),"[51.43715547610494, -0.16739903283668867]",,
Volleyball,United Kingdom,Stockport,Life Leisure Brinnington Park (Brinnington),"[]",,
Volleyball,United Kingdom,Durham,Graham Sports Centre (Durham),"[54.7671574, -1.5586183392101627]",,
Volleyball,United Kingdom,Richmond Docklands,Westminster University Harrow Campus (Harrow),"[51.57770945, -0.3220826921696374]",,
Volleyball,United Kingdom,Newcastle Knights,Newcastle University Sports Centre (Newcastle Upon Tyne),"[54.98240875, -1.6247996535331566]",,
Volleyball,United Kingdom,Essex Rebels,Essex Sport Arena (Colchester),"[51.8746375437022, 0.9477505686413457]",,
Volleyball,United Kingdom,Nottingham,David Ross Sports Village (Nottingham),"[52.939476549999995, -1.2072509043163708]",,
Volleyball,United Kingdom,Essex Blaze,St John Payne School (Chelmsford),"[51.7519955, 0.4642591]",,
Volleyball,United Kingdom,London Giants,Brixton Recreation Centre (London),"[51.4636531, -0.11327761993252919]",,
Volleyball,United Kingdom,Malory Eagles W,Ernest Bevin College (Tooting),"[51.43715547610494, -0.16739903283668867]",,
Volleyball,United Kingdom,Cambridge W,North Cambridge Academy (Cambridge),"[52.22556415, 0.13097886971228068]",,
Volleyball,United Kingdom,Leeds W,Ruth Gorse Academy (Leeds),"[53.79118666130563, -1.5356129371754628]",,
Volleyball,United Kingdom,Derbyshire W,Derby University Sports Centre (Derby),"[52.937698058563704, -1.499164673632313]",,
Volleyball,United Kingdom,Essex Rebels W,Essex Sport Arena (Colchester),"[51.8746375437022, 0.9477505686413457]",,
Volleyball,United Kingdom,Wessex W,Parkstone Grammar School (Poole),"[50.745451450000004, -1.9872539084400371]",,
Volleyball,United Kingdom,Nottingham W,David Ross Sports Village (Nottingham),"[52.939476549999995, -1.2072509043163708]",,
Volleyball,United Kingdom,London Lionhearts W,Mulberry Shoreditch Academy (London),"[51.5270697, -0.06995751987973181]",,
Volleyball,United Kingdom,Polonia London W,Northolt High school (London),"[51.551569, -0.3757344348865314]",,
Volleyball,United Kingdom,Durham W,Graham Sports Centre (Durham),"[54.7671574, -1.5586183392101627]",,
Volleyball,Finland,Loimu,Kerttula Sports Hall (Raisio),"[60.49442778805487, 22.157416426774354]",,
Volleyball,Finland,VaLePa,VeXve Arena (Vammala),"[61.35449363131597, 22.906145496133263]",,
Volleyball,Finland,Akaa,Akaa Areena (Akaa),"[61.21368709674406, 23.7538834459212]",,
Volleyball,Finland,Savo,Vesileppis Arena (Leppävirta),"[63.079338868725074, 27.667656147229366]",,
Volleyball,Finland,Tiikerit,Hollihaa Sports Hal (Kokkola),"[63.84760569845179, 23.122328382785795]",,
Volleyball,Finland,Hurrikaani,Loimaa Sports Hall (Loimaa),"[60.846451452085844, 23.04663360016234]",,
Volleyball,Finland,TUTO,Kupittaan Palloiluhalli / Nunnavuori Ball Hall (Tarku),"[]",,
Volleyball,Finland,KyKy,Kyy York Arena (Kyyjärvi),"[63.05052754357994, 24.55887601266447]",,
Volleyball,Finland,Karelian Hurmos,Joensuu Sports Hall (Joensuu),"[62.60244955512418, 29.75231650178903]",,
Volleyball,Finland,Nurmon Jymy W,Nurmohalli (Nurmo),"[62.8258645, 22.91676919692398]",,
Volleyball,Finland,Arctic Rovaniemi W,Santasport (Rovaniemi),"[66.49721275, 25.768224408666466]",,
Volleyball,Finland,LP-Vampula W,Tahto Areena (Huittinen),"[61.1846879, 22.696168046406434]",,
Volleyball,Finland,Polkky Kuusamo W,Kuusamon Liikuntakeskus (Kuusamo),"[65.97131055, 29.182354975949856]",,
Volleyball,Finland,Viesti W,Salohalli (Salo),"[60.379278799999994, 23.141893086123652]",,
Volleyball,Finland,OrPo W,Oriveden Liikuntahalli (Orivesi),"[61.67579055, 24.353527807445275]",,
Volleyball,Finland,Kangasala W,Kangasala Areena (Kangasala),"[61.46382375, 24.048548526430242]",,
Volleyball,Finland,LiigaPloki W,Pithipudas-Sali (Pithipudas),"[63.36751155733794, 25.579498368031306]",,
Volleyball,Finland,Puijo W,Pohjantien Koulu (Kuopio),"[62.9049769, 27.694999220473278]",,
Volleyball,Finland,Hameenlinna W,Loimua Areena (Hämeenlinna),"[61.004774, 24.43054352278789]",,
Volleyball,Greece,OFI,Vardinogiannio Athlitiko Kentro (Heraclion Crete),"[35.32694525002269, 25.05268864584795]",,
Volleyball,Greece,Athlos Orestiadas,Nikos Samaras Indoor Hall (Orestiada),"[40.84433229655699, 25.868078014172585]",,
Volleyball,Greece,Kifisia,Zirineio Indoor Hall (Athens),"[38.06744384831911, 23.811152859851113]",,
Volleyball,Greece,Panathinaikos,Mets Indoor Hall (Athens),"[37.964062185128874, 23.73991243918795]",,
Volleyball,Greece,Foinikas Syroy,Dimitris Vikelas Arena (Ermoupolis),"[37.43205382318469, 24.93528932567651]",,
Volleyball,Greece,AONS Milon,Milon Indoor Hall (Athens),"[37.942420007989405, 23.710143441112702]",,
Volleyball,Greece,Flisvos,Kleisto gymnastirio Sofia Mpefon (Palaio Faliro),"[37.93656991588879, 23.706181452678297]",,
Volleyball,Greece,Olympiacos,Melina Merkouri Rentis Indoor Hall (Piraeus),"[37.968593059060524, 23.673768568024375]",,
Volleyball,Greece,PAOK,PAOK Sports Arena (Thessaloniki),"[40.565988324630425, 22.981028568126387]",,
Volleyball,Greece,Polichnnis,Alexandros Nikolaidis Polichni Indoor Hall (Thessaloniki),"[40.666249346096855, 22.955216454639174]",,
Volleyball,Greece,Panionios W,Panionios Indoor Hall (Nea Smyrni),"[37.94384045361458, 23.710534358726036]",,
Volleyball,Greece,Lamia W,Chalkiopoulio Sports Hall (Lamia),"[38.89170162483631, 22.446116129439712]",,
Volleyball,Greece,Markopoulo W,Municipal Indoor Hall of Markopoulo (Markopoulo Mesogaias),"[37.873043199337815, 23.931659282801448]",,
Volleyball,Greece,Aonnnne Amazones W,Stelios Kalaitzis Indoor Hall (Nea Erythraia),"[38.100925655797646, 23.813836283374318]",,
Volleyball,Greece,ASP Thetis W,Georgios Gennimatas Indoor Hall (Voula),"[37.84582675569742, 23.762769553882915]",,
Volleyball,Greece,PAOK W,PAOK Sports Arena (Thessaloniki),"[40.56604872043026, 22.981023474871012]",,
Volleyball,Greece,Olympiacos Piraeus W,Melina Merkouri Indoor Hall (Piraeus),"[37.968694555680315, 23.673661279662056]",,
Volleyball,Greece,AEK W,Olympic Village Indoor Hall (Athens),"[38.03789921991316, 23.784185027763268]",,
Volleyball,Greece,Aris W,Mikra Indoor Hall (Thessaloniki),"[40.564015769174375, 22.965811546566627]",,
